policy_id,customer_id,fuel,vehicle_segment,premium,bodily_injury_liability,personal_injury_protection,property_damage_liability,collision,comprehensive,date_of_purchase
12420,420,CNG,A,591,FALSE,FALSE,TRUE,FALSE,FALSE,1516838400
12421,420,CNG,A,1617,TRUE,TRUE,TRUE,FALSE,TRUE,1516233600
12422,420,CNG,A,1174,TRUE,FALSE,TRUE,TRUE,FALSE,1515024000
12423,420,CNG,A,2241,TRUE,TRUE,TRUE,FALSE,TRUE,1517097600
12424,420,CNG,A,2248,TRUE,TRUE,FALSE,TRUE,TRUE,1517356800
12425,420,CNG,A,2121,TRUE,TRUE,FALSE,FALSE,TRUE,1517011200
12426,420,CNG,A,1994,FALSE,FALSE,FALSE,FALSE,TRUE,1516838400
12427,420,CNG,A,2442,TRUE,TRUE,FALSE,FALSE,FALSE,1514764800
12428,420,CNG,A,1763,FALSE,TRUE,TRUE,FALSE,FALSE,1516665600
12429,420,CNG,A,1494,FALSE,FALSE,FALSE,TRUE,TRUE,1517097600
12430,420,CNG,A,2039,TRUE,FALSE,TRUE,TRUE,FALSE,1514937600
12431,420,CNG,A,898,TRUE,FALSE,FALSE,FALSE,FALSE,1517011200
12432,420,CNG,A,823,FALSE,FALSE,TRUE,TRUE,FALSE,1515715200
12433,420,CNG,A,1144,FALSE,TRUE,FALSE,FALSE,FALSE,1515628800
12434,420,CNG,A,1051,FALSE,FALSE,TRUE,FALSE,FALSE,1516665600
12435,420,CNG,A,1212,FALSE,FALSE,TRUE,FALSE,FALSE,1515542400
12436,420,CNG,A,1829,FALSE,TRUE,TRUE,FALSE,FALSE,1515801600
12437,420,CNG,A,1548,FALSE,FALSE,FALSE,TRUE,FALSE,1515974400
12438,420,CNG,A,1663,TRUE,TRUE,FALSE,TRUE,TRUE,1515196800
12439,420,CNG,A,1313,FALSE,FALSE,FALSE,TRUE,TRUE,1516665600
12440,420,CNG,A,1915,TRUE,TRUE,TRUE,FALSE,FALSE,1515024000
12441,420,CNG,A,1888,FALSE,FALSE,FALSE,TRUE,TRUE,1515369600
12442,420,CNG,A,694,TRUE,TRUE,TRUE,FALSE,FALSE,1516320000
12443,420,CNG,A,637,FALSE,FALSE,TRUE,TRUE,FALSE,1515110400
12444,420,CNG,A,1959,TRUE,TRUE,FALSE,FALSE,TRUE,1518220800
12445,420,CNG,A,1673,FALSE,TRUE,TRUE,TRUE,TRUE,1518048000
12446,420,CNG,A,934,TRUE,FALSE,TRUE,FALSE,TRUE,1517443200
12447,420,CNG,A,2391,TRUE,FALSE,FALSE,TRUE,FALSE,1519344000
12448,420,CNG,A,2246,TRUE,FALSE,FALSE,TRUE,FALSE,1519084800
12449,420,CNG,A,1328,FALSE,TRUE,TRUE,FALSE,FALSE,1517616000
12450,420,CNG,A,2455,TRUE,TRUE,TRUE,TRUE,TRUE,1518480000
12451,420,CNG,A,1611,FALSE,TRUE,FALSE,TRUE,FALSE,1519516800
12452,420,CNG,A,2256,TRUE,FALSE,FALSE,TRUE,FALSE,1517616000
12453,420,CNG,A,1284,FALSE,FALSE,FALSE,FALSE,FALSE,1519603200
12454,420,CNG,A,2067,TRUE,TRUE,FALSE,TRUE,FALSE,1517788800
12455,420,CNG,A,1477,TRUE,FALSE,FALSE,TRUE,FALSE,1518307200
12456,420,CNG,A,865,FALSE,FALSE,FALSE,FALSE,TRUE,1518912000
12457,420,CNG,A,1662,FALSE,FALSE,FALSE,TRUE,TRUE,1517443200
12458,420,CNG,A,1870,FALSE,FALSE,FALSE,FALSE,FALSE,1517616000
12459,420,CNG,A,626,TRUE,TRUE,TRUE,TRUE,FALSE,1517788800
12460,420,CNG,A,1658,TRUE,FALSE,TRUE,TRUE,FALSE,1518307200
12461,420,CNG,A,1168,FALSE,TRUE,FALSE,TRUE,TRUE,1518739200
12462,420,CNG,A,1083,FALSE,FALSE,TRUE,TRUE,FALSE,1517529600
12463,420,CNG,A,2253,FALSE,TRUE,FALSE,TRUE,FALSE,1517875200
12464,420,CNG,A,708,TRUE,TRUE,TRUE,FALSE,TRUE,1517788800
12465,420,CNG,A,2254,TRUE,TRUE,FALSE,TRUE,FALSE,1518566400
12466,420,CNG,A,1092,FALSE,TRUE,FALSE,FALSE,TRUE,1518652800
12467,420,CNG,A,778,TRUE,FALSE,FALSE,FALSE,TRUE,1519603200
12468,420,CNG,A,1041,FALSE,FALSE,TRUE,TRUE,TRUE,1518652800
12469,420,CNG,A,2310,FALSE,FALSE,TRUE,TRUE,FALSE,1517616000
12470,420,CNG,A,2339,TRUE,TRUE,TRUE,TRUE,FALSE,1519516800
12471,420,CNG,A,2218,FALSE,FALSE,TRUE,FALSE,TRUE,1518393600
12472,420,CNG,A,1628,TRUE,TRUE,FALSE,FALSE,TRUE,1518307200
12473,420,CNG,A,850,TRUE,FALSE,TRUE,TRUE,FALSE,1518739200
12474,420,CNG,A,618,FALSE,TRUE,FALSE,TRUE,TRUE,1518566400
12475,420,CNG,A,2128,FALSE,FALSE,FALSE,TRUE,FALSE,1519257600
12476,420,CNG,A,1213,TRUE,FALSE,FALSE,TRUE,TRUE,1518739200
12477,420,CNG,A,749,TRUE,FALSE,TRUE,FALSE,TRUE,1517702400
12478,420,CNG,A,2420,FALSE,FALSE,TRUE,FALSE,TRUE,1518566400
12479,420,CNG,A,1231,FALSE,TRUE,FALSE,TRUE,FALSE,1518048000
12480,420,CNG,A,510,FALSE,TRUE,FALSE,FALSE,TRUE,1519689600
12481,420,CNG,A,2376,FALSE,TRUE,TRUE,FALSE,TRUE,1518566400
12482,420,CNG,A,1746,TRUE,TRUE,FALSE,TRUE,FALSE,1519689600
12483,420,CNG,A,1533,FALSE,FALSE,FALSE,FALSE,TRUE,1519171200
12484,420,CNG,A,901,TRUE,TRUE,TRUE,FALSE,FALSE,1518998400
12485,420,CNG,A,2021,FALSE,FALSE,TRUE,TRUE,FALSE,1517702400
12486,420,CNG,A,1570,FALSE,FALSE,FALSE,FALSE,TRUE,1519257600
12487,420,CNG,A,2338,FALSE,FALSE,TRUE,TRUE,FALSE,1518998400
12488,420,CNG,A,1065,FALSE,FALSE,TRUE,FALSE,TRUE,1518220800
12489,420,CNG,A,2227,FALSE,TRUE,FALSE,FALSE,FALSE,1518566400
12490,420,CNG,A,1721,TRUE,FALSE,FALSE,FALSE,FALSE,1518739200
12491,420,CNG,A,1914,FALSE,FALSE,TRUE,TRUE,FALSE,1517788800
12492,420,CNG,A,1149,FALSE,FALSE,FALSE,FALSE,FALSE,1518220800
12493,420,CNG,A,2033,FALSE,FALSE,TRUE,TRUE,TRUE,1519084800
12494,420,CNG,A,2025,FALSE,FALSE,FALSE,TRUE,FALSE,1519257600
12495,420,CNG,A,743,TRUE,FALSE,TRUE,FALSE,FALSE,1518393600
12496,420,CNG,A,1044,TRUE,FALSE,TRUE,FALSE,TRUE,1518912000
12497,420,CNG,A,1404,TRUE,FALSE,TRUE,FALSE,FALSE,1519516800
12498,420,CNG,A,1569,TRUE,TRUE,TRUE,FALSE,FALSE,1519257600
12499,420,CNG,A,1477,TRUE,FALSE,TRUE,FALSE,TRUE,1517443200
12500,420,CNG,A,1464,TRUE,TRUE,FALSE,TRUE,TRUE,1518825600
12501,420,CNG,A,2487,TRUE,TRUE,FALSE,FALSE,TRUE,1519084800
12502,420,CNG,A,2205,FALSE,TRUE,TRUE,TRUE,FALSE,1518652800
12503,420,CNG,A,2148,FALSE,FALSE,TRUE,FALSE,TRUE,1517875200
12504,420,CNG,A,2006,TRUE,TRUE,FALSE,TRUE,FALSE,1519516800
12505,420,CNG,A,2168,TRUE,TRUE,FALSE,FALSE,TRUE,1519689600
12506,420,CNG,A,1574,FALSE,TRUE,TRUE,FALSE,FALSE,1517529600
12507,420,CNG,A,1764,TRUE,FALSE,FALSE,TRUE,TRUE,1517529600
12508,420,CNG,A,2484,TRUE,TRUE,TRUE,TRUE,FALSE,1517875200
12509,420,CNG,A,640,TRUE,FALSE,TRUE,TRUE,FALSE,1517875200
12510,420,CNG,A,663,FALSE,FALSE,TRUE,TRUE,FALSE,1518393600
12511,420,CNG,A,1504,FALSE,FALSE,FALSE,FALSE,FALSE,1519257600
12512,420,CNG,A,1908,FALSE,TRUE,FALSE,TRUE,TRUE,1518825600
12513,420,CNG,A,519,FALSE,FALSE,FALSE,FALSE,TRUE,1518048000
12514,420,CNG,A,1475,TRUE,TRUE,TRUE,TRUE,FALSE,1517788800
12515,420,CNG,A,1663,TRUE,FALSE,TRUE,TRUE,FALSE,1519689600
12516,420,CNG,A,1179,FALSE,TRUE,FALSE,FALSE,FALSE,1518566400
12517,420,CNG,A,898,FALSE,TRUE,TRUE,FALSE,TRUE,1518825600
12518,420,CNG,A,641,TRUE,FALSE,TRUE,TRUE,FALSE,1518048000
12519,420,CNG,A,1002,FALSE,FALSE,TRUE,FALSE,FALSE,1519430400
12520,420,CNG,A,2253,TRUE,FALSE,TRUE,TRUE,TRUE,1519516800
12521,420,CNG,A,1100,TRUE,FALSE,FALSE,TRUE,TRUE,1518220800
12522,420,CNG,A,2316,FALSE,TRUE,TRUE,TRUE,TRUE,1518998400
12523,420,CNG,A,2387,TRUE,FALSE,TRUE,TRUE,TRUE,1518566400
12524,420,CNG,A,2193,FALSE,TRUE,FALSE,TRUE,FALSE,1519171200
12525,420,CNG,A,2484,TRUE,FALSE,FALSE,FALSE,TRUE,1519257600
12526,420,CNG,A,1835,FALSE,FALSE,TRUE,TRUE,TRUE,1519430400
12527,420,CNG,A,2310,FALSE,FALSE,TRUE,TRUE,FALSE,1518480000
12528,420,CNG,A,545,TRUE,TRUE,FALSE,FALSE,FALSE,1517875200
12529,420,CNG,A,1924,TRUE,FALSE,FALSE,TRUE,TRUE,1519171200
12530,420,CNG,A,615,TRUE,TRUE,TRUE,FALSE,FALSE,1518393600
12531,420,CNG,A,727,TRUE,TRUE,TRUE,FALSE,TRUE,1517529600
12532,420,CNG,A,685,FALSE,TRUE,FALSE,TRUE,TRUE,1518220800
12533,420,CNG,A,2390,FALSE,FALSE,TRUE,TRUE,TRUE,1517529600
12534,420,CNG,A,709,TRUE,FALSE,TRUE,FALSE,TRUE,1519430400
12535,420,CNG,A,910,FALSE,TRUE,TRUE,FALSE,FALSE,1519689600
12536,420,CNG,A,1030,FALSE,TRUE,TRUE,FALSE,FALSE,1518998400
12537,420,CNG,A,1538,TRUE,FALSE,TRUE,TRUE,TRUE,1518739200
12538,420,CNG,A,600,FALSE,TRUE,TRUE,FALSE,FALSE,1518825600
12539,420,CNG,A,540,TRUE,TRUE,FALSE,FALSE,TRUE,1519171200
12540,420,CNG,A,997,TRUE,TRUE,TRUE,FALSE,FALSE,1518739200
12541,420,CNG,A,2086,FALSE,FALSE,FALSE,TRUE,TRUE,1518307200
12542,420,CNG,A,2491,TRUE,FALSE,FALSE,TRUE,FALSE,1518652800
12543,420,CNG,A,651,TRUE,TRUE,TRUE,FALSE,TRUE,1519257600
12544,420,CNG,A,1359,TRUE,TRUE,TRUE,TRUE,FALSE,1519344000
12545,420,CNG,A,1109,TRUE,FALSE,TRUE,FALSE,TRUE,1521676800
12546,420,CNG,A,2347,TRUE,TRUE,TRUE,TRUE,FALSE,1521763200
12547,420,CNG,A,966,FALSE,FALSE,TRUE,TRUE,TRUE,1521331200
12548,420,CNG,A,935,FALSE,TRUE,FALSE,TRUE,FALSE,1520380800
12549,420,CNG,A,2191,FALSE,TRUE,FALSE,FALSE,FALSE,1522108800
12550,420,CNG,A,1245,FALSE,TRUE,FALSE,TRUE,FALSE,1521331200
12551,420,CNG,A,2448,FALSE,FALSE,TRUE,TRUE,FALSE,1520208000
12552,420,CNG,A,525,FALSE,TRUE,TRUE,FALSE,TRUE,1522281600
12553,420,CNG,A,1214,TRUE,FALSE,FALSE,TRUE,TRUE,1519948800
12554,420,CNG,A,836,TRUE,TRUE,FALSE,TRUE,FALSE,1520640000
12555,420,CNG,A,525,TRUE,TRUE,FALSE,FALSE,FALSE,1520035200
12556,420,CNG,A,1640,FALSE,TRUE,FALSE,FALSE,FALSE,1522108800
12557,420,CNG,A,554,TRUE,FALSE,FALSE,FALSE,FALSE,1519948800
12558,420,CNG,A,599,FALSE,TRUE,TRUE,TRUE,FALSE,1521504000
12559,420,CNG,A,1269,TRUE,TRUE,TRUE,TRUE,FALSE,1522368000
12560,420,CNG,A,838,TRUE,FALSE,FALSE,TRUE,TRUE,1521849600
12561,420,CNG,A,745,TRUE,FALSE,TRUE,FALSE,TRUE,1521331200
12562,420,CNG,A,1349,TRUE,FALSE,TRUE,TRUE,FALSE,1522195200
12563,420,CNG,A,646,TRUE,FALSE,FALSE,TRUE,FALSE,1521676800
12564,420,CNG,A,1322,TRUE,TRUE,TRUE,TRUE,FALSE,1519862400
12565,420,CNG,A,1050,FALSE,FALSE,TRUE,FALSE,FALSE,1522368000
12566,420,CNG,A,2114,FALSE,TRUE,FALSE,FALSE,FALSE,1521763200
12567,420,CNG,A,1674,FALSE,FALSE,TRUE,TRUE,TRUE,1521763200
12568,420,CNG,A,690,TRUE,TRUE,TRUE,TRUE,FALSE,1522368000
12569,420,CNG,A,1679,TRUE,FALSE,TRUE,FALSE,FALSE,1521763200
12570,420,CNG,A,1634,TRUE,FALSE,TRUE,TRUE,TRUE,1520640000
12571,420,CNG,A,1241,TRUE,TRUE,TRUE,FALSE,TRUE,1521331200
12572,420,CNG,A,774,TRUE,TRUE,TRUE,FALSE,FALSE,1520726400
12573,420,CNG,A,1049,TRUE,FALSE,TRUE,TRUE,FALSE,1521072000
12574,420,CNG,A,697,FALSE,FALSE,FALSE,TRUE,TRUE,1520208000
12575,420,CNG,A,653,FALSE,TRUE,FALSE,FALSE,FALSE,1520640000
12576,420,CNG,A,1908,TRUE,FALSE,FALSE,TRUE,FALSE,1520640000
12577,420,CNG,A,2445,FALSE,FALSE,TRUE,FALSE,TRUE,1520985600
12578,420,CNG,A,613,TRUE,FALSE,TRUE,FALSE,TRUE,1521590400
12579,420,CNG,A,1560,TRUE,FALSE,TRUE,TRUE,TRUE,1521590400
12580,420,CNG,A,1651,FALSE,TRUE,FALSE,FALSE,TRUE,1521676800
12581,420,CNG,A,2490,TRUE,TRUE,TRUE,FALSE,TRUE,1520035200
12582,420,CNG,A,1669,FALSE,FALSE,TRUE,FALSE,FALSE,1520640000
12583,420,CNG,A,1774,TRUE,FALSE,TRUE,FALSE,FALSE,1520553600
12584,420,CNG,A,1556,TRUE,FALSE,TRUE,TRUE,FALSE,1522195200
12585,420,CNG,A,890,TRUE,TRUE,TRUE,FALSE,FALSE,1520467200
12586,420,CNG,A,1169,FALSE,FALSE,FALSE,TRUE,TRUE,1520553600
12587,420,CNG,A,1479,FALSE,FALSE,TRUE,TRUE,TRUE,1521504000
12588,420,CNG,A,1103,FALSE,FALSE,FALSE,FALSE,TRUE,1521936000
12589,420,CNG,A,1747,TRUE,TRUE,TRUE,TRUE,FALSE,1521936000
12590,420,CNG,A,2047,TRUE,TRUE,TRUE,FALSE,FALSE,1521676800
12591,420,CNG,A,878,TRUE,TRUE,TRUE,TRUE,FALSE,1520467200
12592,420,CNG,A,2073,TRUE,TRUE,FALSE,TRUE,FALSE,1521936000
12593,420,CNG,A,519,FALSE,TRUE,TRUE,FALSE,FALSE,1520121600
12594,420,CNG,A,1215,TRUE,TRUE,FALSE,FALSE,FALSE,1521590400
12595,420,CNG,A,1821,FALSE,TRUE,TRUE,FALSE,FALSE,1521936000
12596,420,CNG,A,598,TRUE,FALSE,TRUE,TRUE,FALSE,1545782400
12597,420,CNG,A,1768,FALSE,FALSE,FALSE,TRUE,FALSE,1544400000
12598,420,CNG,A,1821,TRUE,FALSE,FALSE,TRUE,FALSE,1544400000
12599,420,CNG,A,2093,FALSE,FALSE,TRUE,FALSE,FALSE,1545868800
12600,420,CNG,A,727,FALSE,TRUE,TRUE,FALSE,TRUE,1543622400
12601,420,CNG,A,2038,TRUE,TRUE,FALSE,FALSE,FALSE,1545523200
12602,420,CNG,A,1830,TRUE,TRUE,FALSE,TRUE,FALSE,1545782400
12603,420,CNG,A,1607,FALSE,TRUE,FALSE,TRUE,FALSE,1545696000
12604,420,CNG,A,1591,TRUE,FALSE,FALSE,TRUE,TRUE,1544054400
12605,420,CNG,A,856,TRUE,TRUE,FALSE,FALSE,TRUE,1545264000
12606,420,CNG,A,2135,TRUE,FALSE,FALSE,TRUE,TRUE,1545696000
12607,420,CNG,A,854,TRUE,TRUE,FALSE,FALSE,FALSE,1546128000
12608,420,CNG,A,2202,TRUE,FALSE,TRUE,FALSE,TRUE,1544140800
12609,420,CNG,A,1282,FALSE,FALSE,TRUE,TRUE,TRUE,1543622400
12610,420,CNG,A,1975,TRUE,TRUE,FALSE,TRUE,FALSE,1543622400
12611,420,CNG,A,1390,TRUE,FALSE,TRUE,FALSE,TRUE,1544572800
12612,420,CNG,A,642,FALSE,TRUE,TRUE,FALSE,FALSE,1545177600
12613,420,CNG,A,1453,TRUE,FALSE,FALSE,FALSE,TRUE,1544313600
12614,420,CNG,A,2031,FALSE,FALSE,FALSE,TRUE,TRUE,1544486400
12615,420,CNG,A,2212,TRUE,FALSE,FALSE,TRUE,FALSE,1544054400
12616,420,CNG,A,902,FALSE,FALSE,TRUE,TRUE,TRUE,1543795200
12617,420,CNG,A,2365,FALSE,TRUE,TRUE,FALSE,TRUE,1545955200
12618,420,CNG,A,733,TRUE,TRUE,TRUE,FALSE,FALSE,1545696000
12619,420,CNG,A,2266,TRUE,TRUE,FALSE,FALSE,TRUE,1544313600
12620,420,CNG,A,2373,TRUE,TRUE,FALSE,TRUE,FALSE,1521244800
12621,420,CNG,A,776,TRUE,FALSE,FALSE,FALSE,FALSE,1520035200
12622,420,CNG,A,1729,TRUE,TRUE,FALSE,FALSE,FALSE,1522195200
12623,420,CNG,A,2437,FALSE,TRUE,TRUE,TRUE,TRUE,1522368000
12624,420,CNG,A,1173,FALSE,FALSE,FALSE,FALSE,TRUE,1522022400
12625,420,CNG,A,751,FALSE,TRUE,TRUE,TRUE,TRUE,1519862400
12626,420,CNG,A,2499,TRUE,TRUE,FALSE,FALSE,FALSE,1521590400
12627,420,CNG,A,2292,TRUE,FALSE,FALSE,FALSE,FALSE,1521763200
12628,420,CNG,A,1359,FALSE,FALSE,TRUE,FALSE,TRUE,1520467200
12629,420,CNG,A,613,FALSE,FALSE,TRUE,FALSE,FALSE,1520467200
12630,420,CNG,A,694,TRUE,TRUE,TRUE,TRUE,FALSE,1522022400
12631,420,CNG,A,585,TRUE,FALSE,TRUE,FALSE,FALSE,1521590400
12632,420,CNG,A,1965,FALSE,TRUE,FALSE,FALSE,FALSE,1519862400
12633,420,CNG,A,1414,FALSE,FALSE,FALSE,FALSE,FALSE,1520640000
12634,420,CNG,A,1015,FALSE,FALSE,TRUE,FALSE,FALSE,1521158400
12635,420,CNG,A,1074,FALSE,FALSE,TRUE,FALSE,FALSE,1522195200
12636,420,CNG,A,1583,TRUE,TRUE,FALSE,FALSE,TRUE,1521849600
12637,420,CNG,A,873,FALSE,FALSE,FALSE,FALSE,FALSE,1520726400
12638,420,CNG,A,1650,FALSE,TRUE,FALSE,TRUE,TRUE,1520035200
12639,420,CNG,A,2104,TRUE,TRUE,TRUE,TRUE,FALSE,1521849600
12640,420,CNG,A,1328,FALSE,FALSE,TRUE,TRUE,TRUE,1521158400
12641,420,CNG,A,2390,TRUE,FALSE,FALSE,FALSE,FALSE,1521504000
12642,420,CNG,A,948,FALSE,FALSE,TRUE,FALSE,FALSE,1520726400
12643,420,CNG,A,1116,TRUE,TRUE,TRUE,FALSE,FALSE,1520294400
12644,420,CNG,A,1101,TRUE,FALSE,FALSE,TRUE,TRUE,1519948800
12645,420,CNG,A,1302,TRUE,TRUE,FALSE,TRUE,TRUE,1524528000
12646,420,CNG,A,1895,FALSE,TRUE,FALSE,TRUE,TRUE,1522800000
12647,420,CNG,A,1601,FALSE,TRUE,FALSE,FALSE,FALSE,1524528000
12648,420,CNG,A,1110,TRUE,FALSE,TRUE,FALSE,TRUE,1524528000
12649,420,CNG,A,2049,TRUE,FALSE,TRUE,FALSE,TRUE,1522972800
12650,420,CNG,A,598,TRUE,FALSE,FALSE,TRUE,FALSE,1523923200
12651,420,CNG,A,1023,FALSE,TRUE,FALSE,FALSE,TRUE,1524873600
12652,420,CNG,A,1638,TRUE,TRUE,FALSE,TRUE,TRUE,1523491200
12653,420,CNG,A,2076,TRUE,TRUE,FALSE,FALSE,TRUE,1523404800
12654,420,CNG,A,738,FALSE,TRUE,TRUE,TRUE,FALSE,1524614400
12655,420,CNG,A,1869,FALSE,FALSE,TRUE,FALSE,FALSE,1523577600
12656,420,CNG,A,2455,TRUE,FALSE,FALSE,TRUE,TRUE,1524355200
12657,420,CNG,A,1506,FALSE,FALSE,TRUE,TRUE,FALSE,1522972800
12658,420,CNG,A,1615,TRUE,FALSE,FALSE,TRUE,FALSE,1524096000
12659,420,CNG,A,2399,TRUE,FALSE,FALSE,TRUE,FALSE,1524441600
12660,420,CNG,A,761,FALSE,TRUE,FALSE,FALSE,FALSE,1523836800
